dataset_scale,window_T,seed,corruption_mode,corruption_param,model_name,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,latency_ms,peak_vram_mb
medium,16,123,contiguous_gap,1.000000,B2_Mamba,76800,0.068444,0.116315,0.261618,0.004278,0.015509,0.500000,73.807129
medium,16,123,contiguous_gap,2.000000,B0_Persistence,0,0.032356,0.039650,0.179878,0.004044,0.007855,0.500000,73.807129
medium,16,123,contiguous_gap,2.000000,B1_Framewise,33344,0.095469,0.130726,0.308981,0.011934,0.019998,0.500000,73.807129
medium,16,123,contiguous_gap,2.000000,B2_Mamba,76800,0.070391,0.118408,0.265314,0.008799,0.019712,0.500000,73.807129
medium,16,123,contiguous_gap,4.000000,B0_Persistence,0,0.036028,0.046414,0.189810,0.009007,0.013947,0.500000,73.807129
medium,16,123,contiguous_gap,4.000000,B1_Framewise,33344,0.100948,0.133428,0.317723,0.025237,0.025613,0.500000,73.807129
medium,16,123,contiguous_gap,4.000000,B2_Mamba,76800,0.080613,0.122909,0.283924,0.020153,0.029295,0.500000,73.807129
medium,16,123,contiguous_gap,8.000000,B0_Persistence,0,0.038500,0.052678,0.196214,0.019250,0.024895,0.500000,73.807129
medium,16,123,contiguous_gap,8.000000,B1_Framewise,33344,0.111807,0.138484,0.334376,0.055904,0.036908,0.500000,73.807129
medium,16,123,contiguous_gap,8.000000,B2_Mamba,76800,0.099668,0.134075,0.315703,0.049834,0.041439,0.500000,73.807129
medium,16,456,bernoulli_dropout,0.100000,B0_Persistence,0,0.040600,0.043737,0.201493,0.004420,0.009398,0.100000,73.807129
medium,16,456,bernoulli_dropout,0.100000,B1_Framewise,33344,0.128745,0.149765,0.358810,0.014017,0.029986,0.100000,73.807129
medium,16,456,bernoulli_dropout,0.100000,B2_Mamba,76800,0.124793,0.161453,0.353261,0.013586,0.032915,3.195300,73.807129
medium,16,456,bernoulli_dropout,0.200000,B0_Persistence,0,0.041960,0.049273,0.204842,0.008037,0.016092,0.100000,73.807129
medium,16,456,bernoulli_dropout,0.200000,B1_Framewise,33344,0.128491,0.149022,0.358456,0.024610,0.049301,0.100000,73.807129
medium,16,456,bernoulli_dropout,0.200000,B2_Mamba,76800,0.113602,0.154651,0.337048,0.021758,0.052054,3.016248,73.807129
medium,16,456,bernoulli_dropout,0.300000,B0_Persistence,0,0.055680,0.053845,0.235965,0.017288,0.027341,0.100000,73.807129
medium,16,456,bernoulli_dropout,0.300000,B1_Framewise,33344,0.127758,0.147151,0.357432,0.039667,0.068022,0.100000,73.807129
medium,16,456,bernoulli_dropout,0.300000,B2_Mamba,76800,0.110532,0.148259,0.332463,0.034318,0.071933,3.087535,73.807129
medium,16,456,bernoulli_dropout,0.400000,B0_Persistence,0,0.062040,0.056454,0.249078,0.023140,0.029638,0.100000,73.807129
medium,16,456,bernoulli_dropout,0.400000,B1_Framewise,33344,0.126098,0.147184,0.355102,0.047032,0.068336,0.100000,73.807129
medium,16,456,bernoulli_dropout,0.400000,B2_Mamba,76800,0.111888,0.148010,0.334497,0.041733,0.074243,3.198687,73.807129
medium,16,456,bernoulli_dropout,0.500000,B0_Persistence,0,0.053898,0.055077,0.232160,0.026623,0.036137,0.100000,73.807129
medium,16,456,bernoulli_dropout,0.500000,B1_Framewise,33344,0.129461,0.148286,0.359807,0.063948,0.082522,0.100000,73.807129
